unique_Investor
"""Kedaraa Capital"
Deutsche Telekom Strategic Investments (DTSI)
Deutsche Telekom Strategic Investments
Devdeep Singh
Development finance institution Belgian Investment Company
Devendra Rane
Devendra Reddy
Devesh Rai G
Devesh Sachdev
Devidas Desai
Dewan Housing Finance Corp
Dewang Neralla
Dexter Angel Circle
Dheerag Jain
Dheeraj Jain
Dheeraj Mehta
Dheeraj Pandey
Dhiraj Rajaram
Dhruv Chitgopekar
DiDi Chuxing
Diageo India
Diaz Nesamoney
Didi Kuaidi
Digital Currency Group
Digital Financial Service Lab
Digital Garage
Digital Garage Inc
Dileep Bhatt
Dileep Nath
Dilip Khandwelwal from SAP Labs India
Dinesh Agarwal
Dinesh Kundu
Dinesh Mittal
Dinesh R. Challa
Dino Morea
Divyesh Shah
Doreswamy Nandkishore
Dr David Cheriton
Dr Devi Shetty
Dr Faraz Naqvi
Dr Mushtaq Shah
Dr Nandish Domlur
Dr Paresh Doshi
Dr Ramesh Ayyala
Dr V Ravinder
Dr. Abhishek Pandey
Dr. Aniruddha Malpani
Dr. Aniruddha Malpani Manish Gupta
Dr. Apoorv Ranjan Sharma
Dr. Goutam Challagalla
Dr. Pooja Gandhi
Dr. Pramath Raj Sinha
Dr. Prasad Kaipa
Dr. Rameshwar Kumar
Dr. Ranjan Pai
Dr. Ritesh Malik
Dr. Sridhar Ramaswamy
Dragoneer Investment
Dragoneer Investment Group
Draper Associates
Draper Fisher Jurvetson
Draphant Consultants
Dream Incubator
Dreamweaver Investments
Dunamis Ventures Pte Ltd
Dunamis Ventures Pte Ltd.
Dutch government fund
E-City VEntures Atul Goel
E.ON
ECL Finance
EDBI
EDFIMC (ElectriFI)
EVC Ventures
Eagle10 Ventures
Earlsfield Capital
East Ventures
EcoEnterprise Fund
Edelweiss Financial Services
Edelweiss Private Equity
Edelweiss and Beenext
Eduardo Saverin   Velos Capital
Eduardo Saverin
Eight Innovate
Eight Road Ventures
Eight Roads Ventures
Eight Roads Ventures India
Eight Roads
Electronic Development Fund
Elevar Equity
Elevar Equity and Accels
Elevate Sports
Elliot Stechman
Emerald Media
Emergent Ventures
Emergent Ventures India
Emergent Ventures and Y Combinator
Emerging India
Emery Capital
Empire Angels
Enablers platform
Endeavor Catalyst Fund
Endiya Partners
Engie RDE Fund
Ennovent Impact Investment Holding
Entrepreneurs India
Epsilon Venture Partners
Equanimity Venture Fund
Equanimity Ventures
Equentia Natural Resource
Equentia Natural Resources
Equity Crest
Eros Labs
Esvee Technologies Inc
Eureka Forbes Ltd
European investment fund
Evan Lim
Excelsior Investments
Exfinity Fund
Exfinity Venture
Exfinity Venture Partners
Exfinity Ventures
Existing investors
Experian
Extreme Venture Partners William Bissell
F-Prime Capital Partners
FAO Ventures
FF Angel
FIH Mobile Ltd
FIL Capital Management
FJ Labs
FTV Capital
Facebook FB Start programme
Facebook FBStart
Factor Ventures
Faering Capital
Fairfax Holdings
Fairfax
Falcon Edge
Falcon Edge Capital
Family Pot Investments LLP
Faraz Khan
Farhaan Shabbir
Farhan Naqvi
Farm To Fork
Farooq Adam
Farooq Adam Mukadam
Farooq Oomerbhoy
Fauzan Rahim
Fenqile
FiNC
Fidelity Biosciences
Fidelity Growth Partners
Fidelity Growth Partners India
FinTech
Fireside Ventures
Firoze Irani
Flipkart
Flipkart Logistics Pvt. Ltd
Florida based Angel investor
Florintree
Florintree Advisors
Ford Smart Mobility Llc
Fork Media
Fortisure Ventures
Forum Synergies PE Fund
Fosun International
Fosun RZ Capital
Foundation Capital
Founder Collective
Founders Fund
Foxconn
Foxconn Technology Group
Francesco Cara
Franchise India Brands
Franchise India
Franklin Templeton International Services Pvt. Ltd
FreakOut Group
Fred Khosravi
FreshMenu)
Frontline Strategy
Fulcrum Ventures
Fullerton Financial Holdings Pte Ltd
Fullerton India Credit Company Ltd
Fundamentum
Fundnel
Fung Strategic Holdings
Fusion Tech Ventures
Fusiontech Ventures
Future Fund
G Ravishankar
GAIL India Ltd
GAIN
GBIM Technologies Pvt Ltd
GEMS Advisory
GEMS group
GEMs Advisory
GEMs
GFC
GHV Accelerator
GIC
GIC ventures
GMO Japan
GMO Payment Gateway
GPA group
GREE Ventures
GREE Ventures and Summit Media
GREX
GROUPE SOS
GSF
GSF  angel investors
GVFL
GVFL Ltd
GWB Group
Gabriel Investments
Gagan Dugal
Gagan Goyal
Gagan Hasteer
Gaja Capital Private Equity Fund
Gaja Capital
Ganapathy Venugopal.
Ganayantrika Systems
Ganesh Narasimhan
Ganesh Natarajan
Ganpat Singhvi
GardX International
Gati Ltd
Gaurav Agarwal
Gaurav Bhalotia
Gaurav Bhatnagar
Gaurav Bhogle
Gaurav Dalmia
Gaurav Gupta
Gaurav Kachru
Gaurav Lochan
Gaurav Luniya
Gaurav Marya
Gaurav Munjal
Gaurav Sharma
Gaurav Singhvi
Gaurav Suri and Ankit Kesarwani
Gaurav Vats
Gautam Chhaochharia
Gautam Gandhi
Gautam Ivatury
Gautam Sinha
General Atlantic
General Catalyst
General Catalyst Partners
Geniee
Girish Mathrubootham
Girish Mathrubootham & Group of  Angel investors
Girish Matrubootham
Girish Reddy
Girnar Software
GirnarSoft
Gleevoaz Ventures
Global Founders Capital
Globeinvestor
Globevestor
Globevestor Angel Fund
Goa
Gokaldas Exports Ltd
Gokul Jaykrishna
Gokul Rajaram
Goldbell Group
Goldman Sachs
Goldman Sachs Group
Goldman Sachs Investment Partners and Silicon Valley-based Accel
Google
Google Capital
Google Capital & Accels
Gopal Aggarwal
Gopal Srinivasan
Gordon and Betty Moore Foundation
Govind Rajan
Grace Capital Ventures
Grace Grace Techno Ventures LLP
Grasshoppers
Gray Matters Capital
Gray Matters
Great Oaks Ventures
Green House Ventures
Green House Ventures Accelerator
Green Shots Capital
Green Visor Capital LP II
Greenfield Advisory
Greenoaks Capital
Greenoaks Capital Partners
Greenoaks capital
Grex.in
Grey Orange
Grey Orange Robotics
Greycroft
Greycroft Partners
GrowX
GrowX Ventures
GrowX Ventures.
GrowX ventures
Growth DNA
GrowthStory
Growx Ventures
Gujarat Venture Finance Limited (GVFL)
Gujarat Venture Finance Ltd
Gujarat based angel investors
Gulpreet Kohli
Gund Investment
Gurmeet Chahal
Gurpreet Singh
Guy Oseary
Gyanendra Singh
H C Jain
HAX Accelerator
HBM Healthcare Investments
HCS Venture capital fund
HDFC
HDFC Asset Management
HDFC Bank
HDFC Life
HIS Co. Ltd
HR Fund
HR Technology fund
HT Digital Media Holdings Ltd
HT Media
HT Media Ltd
Hack VC
Haitong Securities
Haldyn Glass
Hampton Capital
Hamraj Kumar
Haresh Chawla
Hari Krishna
Harinder Takhar
Harmeet Bajaj
Harminder Sahani
Harminder Sahni
Harmony Partners
Harpreet Singh Grover
Harsh Kundra
Harsh Mahajan
Harsh Mariwala
Harsh V. Pant
Harsh Vardhan Hada
Harvard Angels
HealthQuad
HealthQuad and Fireside Ventures
Healthsquad
Helion Advisors
Helion Venture
Helion Venture Partner
Helion Venture Partners
Helion Ventures
Helion Ventures Partners
Helix Investments
Hemang Sahani
Hemant Kanakia
Hemant Kaul
Hemant Luthra
Hemant Sahni
Hercules Capital
Hermes Group
Hero Electronixs corporate financing arm
Hero Enterprise
Hero MotoCorp
Hetal Sonpal
Hillhouse Capital
Himanshu Aggarwal
Himanshu Aggrawal
Hinduja Group
Hinduja Leyland Finance
