Date,Startup,Industry_Vertical,SubVertical,Location,Investor,Investment_Type,Amount(USD),Remarks
07-10-2015,Gojavas,,Delivery & Logistics Service provider,Gurugram,Snapdeal,Private Equity,"2,00,00,000",Strategic Funding (Series C)
07-10-2015,Scandid,,Product Discovery & comparison App,Pune,Micromax Informatics,Private Equity,,Strategic Funding
07-10-2015,Stalkbuylove,,Online Apparels Fashion brand,Delhi,"Mato Peric, Peter Kabel ",Private Equity,,Series A
08-10-2015,Zupermeal,,Home Cooked Food marketplace & Delivery,Mumbai,"Sanjeev Kapoor, Ravi Saxena ",Private Equity,"20,00,000",Series A
08-10-2015,Cube26,,Gesture based Mobile Development,Delhi,"Tiger Global Management, Flipkart",Private Equity,"77,00,000",Series A
08-10-2015,Mobikon,,Hotel Mobile CRM Software platform,Pune / Singapore,"Life.SREDA, Qualgro",Private Equity,,Series B
08-10-2015,Grabhouse,,Rental Accommodation Search platform,Bengaluru,Sequoia and Kalaari Capital.,Private Equity,"1,00,00,000",Series B
08-10-2015,Quifers,,Logistics Tech Platform,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,"3,10,000",
09-10-2015,Stockroom.io,,Developer Portfolio Showcase platform,Hyderabad,Undisclosed Investors,Seed Funding,"70,000",
09-10-2015,Curofy,,Doctors Network Mobile App,Delhi,RoundGlass Partners,Private Equity,,Pre-Series A
09-10-2015,Cloud lending,,End-to-End Lending platform,Bangalore / San Mateo,SF Capital Group,Private Equity,"80,00,000",Series A
09-10-2015,Inayo,,on-demand healthcare marketplace,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,"3,00,000",
09-10-2015,Wonobo,,360-degree view creating platform,Bengaluru,Quikr,Private Equity,,Strategic Funding
09-10-2015,Kulzy,,Advertising & Marketing Community Networking platform,Delhi,"Seedfund, Bedrock Ventures",Seed Funding,"10,00,000",
09-10-2015,Zeppery,,Food Ordering & Delivery App,Delhi,Suyash Sharma,Seed Funding,"77,000",
12-10-2015,Zify,,Ride Sharing platform,Hyderabad,Sean OSullivan ,Seed Funding,"1,90,000",
12-10-2015,Faircent,,Online P2P lending marketplace,Gurugram,Aarin Capital Partners,Private Equity,,Series A
12-10-2015,Bizongo,,B2B marketplace for industrial goods,Mumbai,Accels,Seed Funding,,
12-10-2015,Gridle,,Cloud Based Collaboration platform,Ahmedabad,LetsVenture,Seed Funding,"1,00,000",
12-10-2015,Tripoto,,global community for travellers,Delhi,"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",Private Equity,,Series A
12-10-2015,Mubble,,Prepaid Bill manager App,Bengaluru,Accels,Private Equity,,Series A
13-10-2015,Voodoo,,Mobile Only Shopping Assistant,Delhi,SAIF Partners,Seed Funding,"10,00,000",
13-10-2015,Lookup,,Mobile Messaging Assistant App,Bengaluru,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,"25,00,000",Series A
14-10-2015,Askmygift,,Personalized Wish List creator app,Noida,Turning Ideas,Seed Funding,"50,000",
14-10-2015,Gaana.com,,Music Streaming mobile app,Mumbai,Micromax Informatics Ltd,Private Equity,,Strategic Funding
14-10-2015,Zappfresh,,Raw Meat & Ready to eat food etailer,Gurugram,Undisclosed Investors,Seed Funding,"77,000",
14-10-2015,Gymtrekker,,Gym Discovery platform,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,,
15-10-2015,Bounty app,,Online Purchase rewards app,Bengaluru,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed Funding,,
16-10-2015,Homers.in,,Home rental platform,Gurugram,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,,
16-10-2015,Mshipper,,Crowdsourced Delivery platform,Delhi,Vijai Laxmi,Seed Funding,,
16-10-2015,Bolrealty,,Real Estate Insights platform,Delhi,Manpreet Singh,Seed Funding,,
17-10-2015,S-cube futuretech,,Structural & Civil Engg Service Automation,Mumbai,Parampara Capital,Private Equity,"10,00,000",Series A
19-10-2015,Letsventure,,Startup Funding Marketplace,Bengaluru,"Accels, Anupam Mittal & other marquee investors",Private Equity,,Series A
19-10-2015,Citrus payment,,Payments Solution platform,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,"2,50,00,000",Series C
19-10-2015,Holidify,,Travel Destination Discovery platform,Delhi,Aarti Group,Seed Funding,"1,00,000",
20-10-2015,Primaseller,,Order Fulfillment SAAS platform,Bengaluru,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners ",Seed Funding,,
20-10-2015,Opinio,,Last Mile Delivery Service,Bengaluru,"Delhivery, Sands Capital and Accels",Private Equity,"70,00,000",Series A
20-10-2015,Attune technologies,,Healthcare IT Solutions & services,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,"1,00,00,000",Series B
20-10-2015,Ichef.in,,Gourmet Meals Delivery,Mumbai,Springboard Ventures,Private Equity,,
21-10-2015,Jiyo natural,,Healthy Meals Food delivery platform,Bengaluru,Indian Angel Network,Seed Funding,,
21-10-2015,Agentdesks,,Real Estate Mobile CRM,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,"29,50,000",
21-10-2015,White owl brewery,,Micro-Brewery,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,"15,30,000",Series A
21-10-2015,Mealhopper,,Home Made Food Marketplace,Gurugram,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,"1,00,000",
21-10-2015,Zenify.in,,residential rental management platform,Bengaluru,"Atul Jalan, Shrikanth & Bharath",Seed Funding,"6,40,000",
21-10-2015,Stockal,,Personalized Stock Intelligence Platform,Bengaluru,"R Natarajan, Mohan Alexander",Seed Funding,,
23-10-2015,Medd,,Personal Diagnostic Mobile App,Mumbai,Group of Angel investors,Seed Funding,"1,50,000",Bridge Round
23-10-2015,Leaping caravan,,Online food ordering & Delivery service,Gurugram,Group of Angel investors,Seed Funding,"1,50,000",
23-10-2015,Frsh,,Online food ordering & Delivery service,Gurugram,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,"10,00,000",Bridge Round
23-10-2015,Qik stay,,Hotel Aggregator & booking platform,Delhi,ID Enablers Pvt Ltd,Seed Funding,"2,50,000",
26-10-2015,Parcelled,,Online Logistics Platform,Bengaluru,Delhivery,Private Equity,"50,00,000",
26-10-2015,Almamapper,,Online Student & Campus Social Networking platform,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,"4,00,000",
26-10-2015,Flexing it,,Professionals & Project Search Marketplace,Delhi,undisclosed private investors,Seed Funding,"5,00,000",
26-10-2015,Netmeds.com,,Online Pharmacy,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,"5,00,00,000",Series A
26-10-2015,Razorpay,,Online Payment Gateway,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,"90,00,000",Series A
27-10-2015,Jombay,,Psychometric Test Online Software,Pune,Ventureworks India,Private Equity,,
27-10-2015,Happitoo,,Location based Nightlife recommendation Platform,Mumbai,Unnamed investor,Seed Funding,"77,000",
27-10-2015,Care24,,Professional Health Services Platform,Mumbai,India Quotient,Seed Funding,"3,50,000",
