Date,Startup,Industry_Vertical,SubVertical,Location,Investor,Investment_Type,Amount(USD),Remarks
22-05-2017,Zipgrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,"5,00,000",
23-05-2017,Travelspice,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,,
23-05-2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurugram,"Lightspeed Venture Partners, Vy Capital,",Private Equity,"66,00,000",
23-05-2017,The print,Consumer Internet,News Portal,Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,,
23-05-2017,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,"10,00,000",
24-05-2017,Gennext students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,"5,80,000",
25-05-2017,Aye finance,Finance,Non-Banking Financial Company,Gurugram,Blue Orchard,Private Equity,"80,00,000",
26-05-2017,Whatsloan,Consumer Internet,Online Lending mobile app,Bengaluru,Lahiri Musics family office,Seed Funding,,
29-05-2017,Cube consumer services,Consumer Internet,Finance management Mobile app,Mumbai,Undisclosed,Seed Funding,,
29-05-2017,Nivesh,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,,
29-05-2017,Wowflux,Technology,image Processing solution,Delhi,Undisclosed Investors,Seed Funding,,
29-05-2017,Collateral medical,eCommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,"35,00,000",
30-05-2017,Loadshare,Logistics,Express Logistics Network,Bengaluru,Matrix Partners,Seed Funding,,
30-05-2017,Simplilend,Consumer Internet,Online lending platform,Delhi,Undisclosed Investors,Seed Funding,,
30-05-2017,Supr daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,"15,00,000",
30-05-2017,Swiggy,Consumer Internet,Online food delivery platform,Bengaluru,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,"8,00,00,000",
31-05-2017,Sastasundar,eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,"50,00,000",
31-05-2017,Magicpin,Consumer Internet,Hyperlocal Discovery & Rewards platform,Gurugram,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,"70,00,000",
01-04-2017,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,"38,00,000",
03-04-2017,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,"82,00,000",
03-04-2017,Testbook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,,
03-04-2017,Healthcare at home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,"4,00,00,000",
03-04-2017,Tyre express,Technology,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,,
03-04-2017,Smartcoin,Consumer Internet,Micro Lending platform,Bengaluru,Unicorn India Ventures ,Private Equity,,
04-04-2017,Waycool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,"27,00,000",
04-04-2017,Perfios,Technology,Fin-Tech Solutions,Bengaluru,Bessemer Venture Partners,Private Equity,"61,00,000",
04-04-2017,Whatfix,Technology,Interactive Tech-Support Guides,Bengaluru,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,"36,90,000",
04-04-2017,Elastirun,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,"70,00,000",
04-04-2017,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,"5,00,000",
04-04-2017,Konsult app,Consumer Internet,App based Doctor Consulting platform,Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch ",Seed Funding,"5,00,000",
05-04-2017,Credit sudhaar,Consumer Internet,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,,
05-04-2017,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,"30,00,000",
05-04-2017,Dataweave,Technology,Business Intelligence Solutions,Bengaluru,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,,
06-04-2017,Medwell ventures,Healthcare,Home-Based Healthcare provider,Bengaluru,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"2,10,00,000",
06-04-2017,Mech mocha,Consumer Internet,Mobile gaming startup,Bengaluru,"Accels, Shunwei Capital",Private Equity,"50,00,000",
07-04-2017,Startup buddy,Consumer Internet,Startup Support Platform,Gurugram,"YouWeCan Ventures,",Seed Funding,,
07-04-2017,Qorqi,Healthcare,Online Healthcare provider,Noida,Paytm,Seed Funding,,
07-04-2017,Twenty two motors,Technology,Smart Scooter manufacturer,Gurugram,"Ishwar Singh,Farhaan Shabbir",Seed Funding,,
07-04-2017,Pharmeasy,eCommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,"1,80,00,000",
08-04-2017,Wonderchef,eCommerce,Online marketplace for kitchen products,Mumbai,Labruyere Eberl,Private Equity,,
08-04-2017,Fastfox,Consumer Internet,Online rental discovery platform,Gurugram,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,"46,00,000",
10-04-2017,Omnify,Technology,SaaS platform for SMEs,Bengaluru,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,"1,50,000",
10-04-2017,Capital float,Consumer Internet,Online Lending Platform for SME,Bengaluru,Mahindra and Mahindra Financial Services,Private Equity,"23,00,000",
11-04-2017,Ninjacart,eCommerce,B2B agri-marketing platform,Bengaluru,"Accels, Nandan Nilekanis NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,"55,00,000",
11-04-2017,Mergerware,Technology,Software solutions for M&As,Bengaluru,Philippe Bouchet,Seed Funding,"1,00,000",
11-04-2017,Sports flashes,Consumer Internet,Online Sports portal & Mobile app,Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,,
12-04-2017,Clovia,eCommerce,Online lingerie & Sleepwear etailer,Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,"40,00,000",
12-04-2017,Emiza,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,"45,00,000",
12-04-2017,Hackerearth,Consumer Internet,Online Skill Assessment Platform,Bengaluru,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,"45,00,000",
12-04-2017,Squadrun,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,"21,00,000",
12-04-2017,Tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,,
12-04-2017,Scoutmytrip,Consumer Internet,Online Travel planner,Mumbai,Z Nation Lab,Seed Funding,,
13-04-2017,Safetykart,eCommerce,Safety & Hygiene Products etailer,Gurugram,Redcliffe Capital,Private Equity,,
13-04-2017,Weareholidays,Consumer Internet,Travel Packages & Planner marketplace,Gurugram,"Urrshila Kerkar,",Private Equity,"77,00,000",
14-04-2017,Olacabs,Consumer Internet,Cab Aggregator App,Bengaluru,SIMI Pacific Pte,Private Equity,"26,00,00,000",
15-04-2017,Myly,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,"3,10,000",
17-04-2017,Credihealth,Consumer Internet,Online Medical Assistance platform,Gurugram,"Tolaram Inc, Mountain Pine Capital",Private Equity,"15,00,000",
17-04-2017,Navia life care,Technology,Health Technology platform,Delhi,Benori Ventures LLP,Seed Funding,,
17-04-2017,Raw pressery,Food & Beverages,Raw Pressed Juices manufacturer,Mumbai,Jacqueline Fernandez,Seed Funding,,
17-04-2017,Snackible,Food & Beverages,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,"1,75,000",
17-04-2017,Be u salons,Consumer Internet,Online Salon discovery & Booking Services,Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,"6,20,000",
17-04-2017,Simulanis,Consumer Internet,eLearning & Skills Development plat,Delhi,Village Capital,Seed Funding,,
17-04-2017,Lendingkart,Consumer Internet,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity,"46,50,000",
18-04-2017,Innefu security consulting,Technology,Cyber Security solutions using AI,Delhi,IndiaNivesh Venture Capital Fund,Private Equity,"20,00,000",
18-04-2017,Whodat,Technology,Markerless AR platform,Bengaluru,Ideaspring Capital,Private Equity,"6,00,000",
18-04-2017,Absentia vr,Technology,Virtual Reality Startup,Bengaluru,Exfinity Venture Partners,Private Equity,"12,50,000",
19-04-2017,Iotrek,Technology,IoT Platform for Bus,Delhi,Undisclosed Investor,Seed Funding,"1,55,000",
20-04-2017,Holachef,Consumer Internet,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,"30,00,000",
20-04-2017,Wooplr,eCommerce,Social Commerce Fashion platform,Bengaluru,Ankit Nagori,Private Equity,,
21-04-2017,Video ken,Consumer Internet,Video Based Collaborative Learning,Bengaluru,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,"10,00,000",
24-04-2017,Faasos,Food & Beverage,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,"63,00,000",
24-04-2017,Oyo rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurugram,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,"25,00,00,000",
24-04-2017,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,WGG International,Private Equity,"32,00,000",
24-04-2017,Niramai,Healthcare,Breast Cancer Screening Solutions,Bengaluru,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,,
25-04-2017,The office pass,Consumer Internet,CoWorking Spaces booking platform,Gurugram,"Arun Tadanki, Aditya Verma",Seed Funding,"2,45,000",
25-04-2017,Urbanclap,Consumer Internet,Mobile Services Marketplace,Gurugram,Trifecta Capital,Private Equity,"31,00,000",
26-04-2017,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,"2,00,00,000",
26-04-2017,Myra,Consumer Internet,Online Pharmacy,Bengaluru,"Times Internet,Matrix Partners",Private Equity,,
26-04-2017,Flytxt,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,"1,10,00,000",
26-04-2017,Howdy ventures,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding,"15,00,000",
26-04-2017,Stalkbuylove,eCommerce,Online fashion marketplace,Delhi,Trifecta Capital,Private Equity,"10,00,000",
26-04-2017,Zipgo,Consumer Internet,Bus Pooling services platform,Bengaluru,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,,
27-04-2017,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,"36,00,000",
27-04-2017,Autobix,Technology,Software Solutions for Auto Dealership,Pune,GardX International,Seed Funding,,
27-04-2017,Eshiksha,Technology,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed Funding,,
27-04-2017,Inurture,Consumer Internet,Online Educational courses,Bengaluru,BlackSoil Capital Pvt. Ltd,Private Equity,"15,00,000",
28-04-2017,Sepalika,Consumer Internet,Healthcare related content platform,Delhi,Accels,Seed Funding,"7,50,000",
28-04-2017,Mintwalk,Consumer Internet,Financial advisory mobile app,Mumbai,Poshika Financial Ecosystem,Seed Funding,,
29-04-2017,Qriyo,Consumer Internet,Tutor Discovery & Booking platform,Jaipur,NB Ventures,Private Equity,,
01-03-2017,Olacabs,Consumer Internet,App based cab aggregator,Bengaluru,SoftBank Group Corp,Private Equity,"33,00,00,000",
01-03-2017,Belong,Consumer Internet,Online Jon Portal,Bengaluru,Sequoia Capital India,Private Equity,"1,00,00,000",
01-03-2017,Seenit,Consumer Internet,AI based Fashion Search Portal,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,,
01-03-2017,Paalak,ECommerce,Fresh Produce Selling portal,Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,,
02-03-2017,Celes care,Consumer Internet,Women Healthcare & Information portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"15,00,000",
02-03-2017,Karomi,Technology,Packaging Artwork Management software,Chennai,Ideaspring Capital,Seed Funding,"5,00,000",
02-03-2017,Red carpet,Consumer Internet,Micro Lending platform,Gurugram,Lightspeed Venture Partners,Private Equity,"25,00,000",
02-03-2017,Kreate konnect,Technology,End-to-End Seller e-commerce solutions Provider,Vadodara,Langoor,Seed Funding,,
02-03-2017,Creditmantri,Consumer Internet,Online Credit score & lending platform,Chennai,Quona Capital,Private Equity,"76,00,000",
03-03-2017,Lets endorse,Consumer Internet,Online Ecosystem of social innovators,Bengaluru,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,,
03-03-2017,Tydy,Technology,Employee Onboarding and Engagement platform,Bengaluru,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,"2,75,000",
03-03-2017,Nactus,Consumer Internet,Professional Tutors discovery & booking mobile app,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,,
03-03-2017,Oho shop,Technology,eCommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,"67,00,000",
03-03-2017,Emojifi,Consumer Internet,Mobile App for live emoji,Hyderabad,Undisclosed angel investors,Seed Funding,,
03-03-2017,Paytm marketplace,ECommerce,ECommerce Marketplace,Bengaluru,Alibaba,Private Equity,"20,00,00,000",
04-03-2017,Igenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,"1,95,00,000",
06-03-2017,Juno clinic,Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,"12,00,000",
06-03-2017,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Gurugram,"Aneesh Seth, Tushar Mittal",Seed Funding,"1,50,000",
06-03-2017,Pickme,Consumer Internet,Gadget Insurance & Repair Services platform,Mumbai,SIDBI Venture Capital Fund,Private Equity,"17,90,000",
07-03-2017,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accels,Private Equity,"1,00,00,000",
07-03-2017,Zapr,Technology,"DSP, TV Analytics & Cross-Platform advertising",Bengaluru,Star India Pvt Ltd,Private Equity,"1,00,00,000",
07-03-2017,Data resolve,Technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,"10,00,000",
07-03-2017,Book servicing,Consumer Internet,Online Vehicle Services Booking platform,Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,"30,000",
07-03-2017,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bengaluru,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,"36,50,000",
08-03-2017,Rivigo,Logistics,Technology Enabled Logistics Company,Gurugram,Private Sector Banks (Debt Funding),Private Equity,"1,50,00,000",
08-03-2017,Pipecandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,"11,00,000",
08-03-2017,Supr daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,"1,20,000",
08-03-2017,Parentune,Consumer Internet,Online Community for Parents,Gurugram,"Kae Capital, SEGNEL Ventures",Private Equity,,
09-03-2017,Appbrowzer,Consumer Internet,Instant Mobile Apps Store,Bengaluru,Deepak Gurnani,Seed Funding,"5,00,000",
09-03-2017,Magicbricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,"45,00,000",
10-03-2017,Peebuddy,Healthcare,Female Hygiene product manufacturer,Delhi,Indian Angel Network,Seed Funding,"4,43,000",
10-03-2017,Iorderfresh,ECommerce,Online fresh fruits and grocery store,Delhi,Singapore Angel Network,Seed Funding,,
10-03-2017,Lavelle networks,Technology,SDN Solutions,Bengaluru,Ideaspring Capital,Seed Funding,"6,00,000",
10-03-2017,Propertyshare,Consumer Internet,Fractional Proerty Ownership & Rental platform,Bengaluru,"Asuka, Pravega Ventures, BEENEXT",Seed Funding,,
14-03-2017,Mydermacy,Consumer Internet,Online Dermatology consultation platform,Delhi,Cyber Carrier,Private Equity,,
15-03-2017,Latestone,eCommerce,Tech Accessories e-tailer,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,"33,50,000",
15-03-2017,Frapperz,Consumer Internet,On-demand home services provider,Kolkata,Undisclosed Investor,Seed Funding,"1,00,000",
16-03-2017,Mpaani,Consumer Internet,Loyalty rewards app,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,"13,50,000",
16-03-2017,Shilpmis,Technology,Virtual Reality platform,Surat,"Puneet Gupta, Nimitt Desai ",Seed Funding,,
16-03-2017,Popxo,Consumer Internet,Digital Media publication for women,Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,"31,00,000",
16-03-2017,Fitso,Consumer Internet,Fitness Mobile App,Gurugram,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,"2,00,000",
17-03-2017,Farmart,Technology,Farming rental equipment provider,Gurugram,Indian Angel Network,Seed Funding,,
21-03-2017,Flipkart,eCommerce,ECommerce Marketplace,Bengaluru,"Microsoft, eBay, Tencent Holdings",Private Equity,"1,40,00,00,000",
21-03-2017,Airpay,Technology,Online payment Gateway,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,"36,70,000",
21-03-2017,Myglamm,Consumer Internet,On-Demand Beauty Services,Mumbai,LOccitane,Private Equity,"53,00,000",
22-03-2017,The moms co,eCommerce,Pregnancy & Baby Care etailer,Delhi,"Shripad Nadkarni, Nandu Nandkishore",Seed Funding,,
22-03-2017,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bengaluru,"Ravi Saxena, Sandeep Raju,",Seed Funding,"1,91,000",
23-03-2017,Ixigo,Consumer Internet,Online Travel Search Engine,Gurugram,"Sequoia Capital, Kinzon Capital",Private Equity,"1,50,00,000",
23-03-2017,Markets and markets,Technology,Marketing Research Company,Pune,"FTV Capital, Zodius Capital",Private Equity,"5,60,00,000",
24-03-2017,Bizom,Technology,supply chain automation platform,Bengaluru,Ojas Ventures,Seed Funding,"3,82,000",
24-03-2017,Babyonboard,Consumer Internet,Parenting Mobile App,Bengaluru,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",Seed Funding,,
24-03-2017,Delhivery,Technology,Tech enabled Fulfilment & Logistics Solutions,Delhi,"Carlyle Group, Tiger Global",Private Equity,"10,00,00,000",
27-03-2017,Sport flashes,Consumer Internet,Sports Based Online Media portal,Delhi,"Vikas Bajaj, Amit Kharbanda,",Seed Funding,,
28-03-2017,Fynd,ECommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,"5,00,000",
28-03-2017,Wigzo,Technology,Enterprise Automation suite,Delhi,3one4 capital,Private Equity,,
28-03-2017,Donething,Consumer Internet,On-demand Personal Assistant service,Gurugram,Brand Capital,Private Equity,"3,00,000",
29-03-2017,Zapyle,ECommerce,Luxury Fashion Marketplace,Bengaluru,Undisclosed Investors,Seed Funding,,
29-03-2017,Ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,"Ankit Gupta, Puneet Motihar",Seed Funding,"3,25,000",
29-03-2017,Perpule,eCommerce,Self-Checkout ECommerce App,Bengaluru,KStart Capital,Seed Funding,"6,50,000",
29-03-2017,Byju’s,Consumer Internet,Online Education Platform,Bengaluru,Verlinvest,Private Equity,,
29-03-2017,Licious,ECommerce,Online Meat Ordering platform,Bengaluru,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,"1,00,00,000",
29-03-2017,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bengaluru,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani ",Seed Funding,"50,000",
30-03-2017,Indus os,Technology,Mobile OS creator,Mumbai,"JSW Ventures, VenturEast",Private Equity,,
30-03-2017,Emflux motors,Technology,Electric Motorcycle manufacturer,Bengaluru,"Meher Roy, Nikhil Arora, Meet Kanodia, Krit Sankalp, Nitish Singh, Risabh Gupta",Seed Funding,,
30-03-2017,Klinic app,Consumer Internet,Pathology & Diagnostic Tests Portal,Gurugram,Om Chaudhry,Seed Funding,,
31-03-2017,Jhakaas,Consumer Internet,Offline Business Aggregator App,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed Funding,"1,55,000",
31-03-2017,Oriano solar,Technology,Turnkey Solar Solutions,Mumbai,Samridhi Fund,Private Equity,"30,00,000",
31-03-2017,Bigbasket,ECommerce,Online Grocer,Bengaluru,Trifecta Capital,Private Equity,"70,00,000",
31-03-2017,Rooter,Consumer Internet,Sports engagement platform,Delhi,Intex Technologies,Private Equity,,
31-03-2017,Falconbrick,Technology,Real-Estate Workflow mobile app,Bengaluru,"Satveer Thakral, LetsVenture, Mumbai Angels",Seed Funding,,
31-03-2017,Icertis,Technology,ERP solutions provider,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures, Eight Roads Ventures",Private Equity,"2,50,00,000",
02-02-2017,Clodura,Technology,Intelligent Sales Assistant,Pune,Undisclosed Investors,Seed Funding,,
03-02-2017,Stockroom.io,Consumer Internet,Curated Platform for Developers,Hyderabad,"Satya D Sinha, Gyanendra Singh",Seed Funding,,
06-02-2017,Capital float,Consumer Internet,Online lending platform,Bengaluru,IFMR Capital Finance,Private Equity,"25,00,000",
06-02-2017,Imanagemyhotel,Technology,Hotel Management Solution,Kolkata,Jaarvis Accelerator,Seed Funding,,
07-02-2017,Inner hour,Consumer Internet,Online Counselling Platform,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,"4,50,000",
07-02-2017,Travel triangle,Consumer Internet,Online travel agent marketplace,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,"1,00,00,000",
08-02-2017,Wandertrails,Consumer Internet,"Online Travel, Adventure & Activities Portal",Bengaluru,Earlsfield Capital,Seed Funding,"10,00,000",
08-02-2017,Zenatix,Technology,IoT Based Energy Monitoring & Control,Gurugram,"pi Ventures, Blume Ventures",Private Equity,"12,00,000",
08-02-2017,Cartrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,"5,50,00,000",
08-02-2017,Mindyourfleet,Technology,Car Rental Software Solutions,Noida,"Japan Vyas, Tarun Adlakha",Seed Funding,,
08-02-2017,Edurev,Consumer Internet,Online Education Portal,Gurugram,Facebook FB Start programme,Seed Funding,"40,000",
09-02-2017,Voonik,ECommerce,Women Apparel & Lifestyle etailer,Bengaluru,"RB Investments, Sequoia Capital",Private Equity,"60,00,000",
09-02-2017,1crowd,Finance,Startup Crowd-funding platform,Mumbai,Ganesh Natarajan,Seed Funding,,
09-02-2017,Wooplr,ECommerce,Women Fashion Portal,Bengaluru,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,"80,00,000",
10-02-2017,48east,ECommerce,Online Food Delivery Platform,Bengaluru,Al Dhaheri family,Private Equity,"5,00,000",
10-02-2017,Redesyn,Consumer Internet,Tech Enabler for Artists,Mumbai,ThinQbate,Seed Funding,,
13-02-2017,Sigtuple,Technology,Medical Automation platform,Bengaluru,"Accels, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,"58,00,000",
13-02-2017,Flutura,Technology,Decision Sciences Analytics Solutions,Bengaluru,"Vertex Ventures, Lumis Partners",Private Equity,"75,00,000",
13-02-2017,Wassup,Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,Anil Jain & other HNIs,Private Equity,"32,00,000",
13-02-2017,Better mortgage,Consumer Internet,Mortgage Offering Platform,Gurugram,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,"1,50,00,000",
13-02-2017,Nurturey,Consumer Internet,Parenting Mobile App,Delhi,Mohit Joshi ,Seed Funding,"3,30,000",
13-02-2017,Fyle,Technology,Expense Management Solution,Bengaluru,Pravega Ventures,Seed Funding,"4,00,000",
14-02-2017,Gobumpr,Consumer Internet,Online Bike & Car Services provider,Chennai,"Mahalingam K, Girish Mathrubootham",Seed Funding,"3,00,000",
14-02-2017,Ccavenue,Consumer Internet,Online Payment Gateway,Mumbai,Infibeam,Private Equity,"2,24,00,000",
14-02-2017,Connaizen,Technology,Data Analytics platform,Delhi,Vikram Sud,Seed Funding,,
15-02-2017,Innov8,Consumer Internet,Co-Working Space Platform,Delhi,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye",Seed Funding,,
15-02-2017,Zestmoney,Consumer Internet,Online Consumer Lending platform,Bengaluru,"PayU, Ribbit Capital, Omidyar Network",Private Equity,"65,00,000",
15-02-2017,Airzaar,Technology,Drone operations management platform,Missourie,Quake Capital,Seed Funding,"3,50,000",
16-02-2017,Truebil,Consumer Internet,Online Marketplace for Used Cars,Mumbai,Shunwei Capital,Private Equity,"30,00,000",
16-02-2017,Yourstory,Consumer Internet,Online Media,Bengaluru,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,"30,00,000",
17-02-2017,Imaginate,Technology,AR & VR platform,Hyderabad,SRI Capital,Seed Funding,"5,00,000",
17-02-2017,The ken,Consumer Internet,Online Media Platform,Bengaluru,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma ",Seed Funding,"4,00,000",
17-02-2017,Urban ladder,ECommerce,Online Furniture Store,Bengaluru,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,"1,52,00,000",
17-02-2017,Aisle,Consumer Internet,Online match-making app,Bengaluru,"Konglo Ventures, White Unicorn Ventures, LetsVenture",Seed Funding,,
17-02-2017,Townscript,Consumer Internet,DIY event registration and ticketing portal,Pune,BookMyShow,Private Equity,,
17-02-2017,Leopetra,eCommerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,"40,000",
18-02-2017,Blood n care,Consumer Internet,First Aid care app,Gurugram,Facebook FBStart,Seed Funding,"40,000",
20-02-2017,Flipkart,eCommerce,Online Marketplace,Bengaluru,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,"3,87,00,000",
